a,b,c
18052469914924685995,6035520187276439708,4132159871275425356
7923926174276419432,696120225012465862,2629043313646739638
4996473683316427291,10856830245457158641,4948592078063602232
16532013816838757531,7646795146854943671,17079164643201038379
13765012597063013786,205948213702491812,8913894859676099879
16417854340155303363,6226644115185676243,6130112367104938140
5519345657140370064,6080390301238952050,7040530942945806161
3087804319977562670,997688155992281096,5563421547653621562
14551640493724250217,3710177517727941468,7876301039812288669
17374833972718470197,8474957944805449667,8188647242971703770
16897552790414936421,12998000390723546247,10678234139760111929
8721684890407145650,10050741614628459404,7005058677283281989
14895857715138997484,3902543440596394709,5594339636825993377
7577078754933955605,17111948770466948861,10264562372922327601
6349519837099071619,11293356015687094692,4188741766871274572
2855851620104549084,7315470301645627123,15957963315994790242
7119473265260588090,9126194460798736647,12696323441934978759
16251091217246812175,5192235926676904936,2556682812483482177
8504011009930164244,13837422250524816653,9685837159211879950
6771305271702511134,10376891387265466157,12343046273053384477
995526425189289876,15749675245774949695,13219838038636502997
1144132784300076195,1742566182342635522,15734302812979224065
8843026396417096342,14353564532722314825,14521927502520177991
8115467132036885237,1480532328443760995,3497252747371643672
12790237646487245336,10503417955608994418,12132774981515414760
8453137819439076092,5676746403772830174,6607698079946078391
1873093973898896899,4101193651705072020,4206216131502653133
1125543385218138990,10131433593042377657,2834917023697512264
11894433269626333549,15465041647773784399,5877774723852860231
12336868914030004431,760702356818774533,20798123783440341
9765426112580082105,14717440738400531503,1402360165555031676
4716756501290295766,5326639974069448743,12763052864289752705
6072984108719644855,13759119064454751226,14451815617460223886
3686034831467561827,9300089233000875197,12516299451270251587
6492984248707828149,14536187616181710027,6719432333914137260
4668327450846453098,3947099096398760111,15595063552591653245
4330520136971247435,5453665687625284709,7384114392878627550
7404926887706494324,2633782627659064592,8941574280980605348
11473264585058140676,8641816803466172128,17050482927528793569
1617475100512252987,862457089058860178,15262840141811059905
14078510925832251201,12368035306063075058,15869315872066856453
18390260505384026569,4477460796254422903,8439724507679744870
14964574714774739554,7042776195969311243,5097237250608073222
6591024489460686986,3175920770000946841,12603551431332547317
15469839453661236950,4095347715877372382,13570012002673692954
4299977475351921608,15128101070225954226,198410596375843101
14550738822414422269,8299078560905939193,111437353635189789
6608736490435943259,1446536175319443230,4127880410882635562
11572290988523810186,15715783560274579827,15799104637372721857
8629179138192299628,2362928073113993113,7093990157829615089
